"","X1","h_scores","h_predscore","h_hlfscore","a_hlfscore","h_airya","h_yaca","h_psd","h_patt","h_comppct","h_ratt","h_rushsd","h_ypr","h_int_pct","h_sack_pct","h_sack_yd_pct","h_fum_pct","ot","a_scores","a_predscore","a_airya","a_yaca","a_psd","a_patt","a_comppct","a_ratt","a_rushsd","a_ypr","a_int_pct","a_sack_pct","a_sack_yd_pct","a_fum_pct"
"1",1,16,24.75,6,13,2.89473684210526,3.84210526315789,9.68853800090815,19,0.578947368421053,8,3.04138126514911,1.5,0.105263157894737,0.0952380952380952,-0.523809523809524,0,0,20,20.25,5.1875,2.84210526315789,12.7869532273918,16,0.5625,12,3.65433532488012,0.25,0,0.111111111111111,-1.22222222222222,0.0333333333333333
"2",2,38,24.75,10,7,4.28,2.72,5.77135978344792,25,0.64,13,2.46634146798175,3.38461538461538,0,0.0384615384615385,-0.230769230769231,0.0256410256410256,0,24,11.75,1.5,1.24,6.66874967458085,8,0.75,11,4.0696416882908,1.72727272727273,0,0.111111111111111,-0.666666666666667,0
"3",3,20,17.75,13,10,2.63636363636364,1.63636363636364,5.79936660862413,11,0.636363636363636,15,4.31843593085377,3.46666666666667,0,0.153846153846154,-0.769230769230769,0.0714285714285714,0,34,22.25,0.583333333333333,4.54545454545455,5.34877322383367,12,0.666666666666667,13,4.33917070036014,3.30769230769231,0,0.142857142857143,-0.714285714285714,0
"4",4,7,24.75,0,10,1.33333333333333,4.13333333333333,5.4735728733616,15,0.666666666666667,10,4.04474968323134,2.2,0,0,0,0.04,0,24,20.25,4.7,4,8.02269508105826,20,0.55,15,4.87806883464712,2.73333333333333,0,0,0,0.0285714285714286
"5",5,14,25.5,7,6,4.04761904761905,4.28571428571429,9.14087280053473,21,0.714285714285714,15,3.23453585885552,2.73333333333333,0.0476190476190476,0.0454545454545455,-0.318181818181818,0.027027027027027,0,12,19.5,1.71428571428571,2.66666666666667,7.16937933157397,14,0.714285714285714,11,6.91626421876736,5.27272727272727,0,0.0666666666666667,-0.533333333333333,0
"6",6,45,32,28,10,7.81818181818182,1.72727272727273,9.20512764713233,22,0.727272727272727,15,3.58143360495021,3.8,0.0454545454545455,0,0,0,0,27,18,0.944444444444444,2.18181818181818,5.53257399408268,18,0.444444444444444,11,3.39420994592627,2.45454545454545,0.0555555555555556,0.0526315789473684,-0.368421052631579,0.0333333333333333
"7",7,23,21.5,17,7,4.375,4.25,8.52936105461599,16,0.75,19,5.59332803968771,4.36842105263158,0,0.0588235294117647,-0.470588235294118,0.0555555555555556,0,17,15.5,2.72727272727273,5.1875,10.4335696192626,11,0.727272727272727,9,10.1434160364686,6,0.0909090909090909,0.153846153846154,-1.69230769230769,0.136363636363636
"8",8,28,24,14,0,2.08333333333333,4.375,4.97140259383607,24,0.666666666666667,15,2.42212028327799,3,0.0833333333333333,0,0,0.0256410256410256,0,0,17,2,1.125,4.56249126362037,16,0.4375,11,3.89532459738701,3.90909090909091,0,0.0588235294117647,-0.588235294117647,0.0714285714285714
"9",9,25,30.5,10,14,3.40909090909091,3.81818181818182,7.76732649930113,22,0.590909090909091,17,3.52745043542705,4.29411764705882,0.0454545454545455,0.0434782608695652,-0.434782608695652,0,0,24,17,1,2.45454545454545,6.88091118788131,11,0.636363636363636,8,6.11861912526021,5.75,0,0,0,0
"10",10,20,16.5,10,10,4.17647058823529,2.35294117647059,7.07879756738388,17,0.470588235294118,22,3.89214084156503,4.81818181818182,0.0588235294117647,0,0,0.0256410256410256,0,24,26.5,2.25,1.94117647058824,7.0427267446636,12,0.833333333333333,8,3.11999599358717,2.625,0,0.142857142857143,-0.5,0.0454545454545455
